Decile,Sample,Value
6,s_C_7KNWJW_N001_d,144
7,s_C_7KNWJW_N001_d,162
8,s_C_7KNWJW_N001_d,182
9,s_C_7KNWJW_N001_d,210
10,s_C_7KNWJW_N001_d,254
11,s_C_7KNWJW_N001_d,565
1,s_C_92CKWJ_N001_d,2
2,s_C_92CKWJ_N001_d,151
3,s_C_92CKWJ_N001_d,184
4,s_C_92CKWJ_N001_d,214
5,s_C_92CKWJ_N001_d,244
6,s_C_92CKWJ_N001_d,274
7,s_C_92CKWJ_N001_d,307
8,s_C_92CKWJ_N001_d,345
9,s_C_92CKWJ_N001_d,392
10,s_C_92CKWJ_N001_d,461
11,s_C_92CKWJ_N001_d,1093
1,s_C_4TA5ER_N002_d,2
2,s_C_4TA5ER_N002_d,88
3,s_C_4TA5ER_N002_d,109
4,s_C_4TA5ER_N002_d,127
5,s_C_4TA5ER_N002_d,144
6,s_C_4TA5ER_N002_d,162
7,s_C_4TA5ER_N002_d,181
8,s_C_4TA5ER_N002_d,203
9,s_C_4TA5ER_N002_d,232
10,s_C_4TA5ER_N002_d,278
11,s_C_4TA5ER_N002_d,642
1,s_C_T246L8_N001_d,2
2,s_C_T246L8_N001_d,137
3,s_C_T246L8_N001_d,163
4,s_C_T246L8_N001_d,187
5,s_C_T246L8_N001_d,210
6,s_C_T246L8_N001_d,235
7,s_C_T246L8_N001_d,262
8,s_C_T246L8_N001_d,294
9,s_C_T246L8_N001_d,333
10,s_C_T246L8_N001_d,392
11,s_C_T246L8_N001_d,895
1,s_C_04ARH0_X004_d,2
2,s_C_04ARH0_X004_d,130
3,s_C_04ARH0_X004_d,152
4,s_C_04ARH0_X004_d,172
5,s_C_04ARH0_X004_d,193
6,s_C_04ARH0_X004_d,214
7,s_C_04ARH0_X004_d,237
8,s_C_04ARH0_X004_d,264
9,s_C_04ARH0_X004_d,298
10,s_C_04ARH0_X004_d,347
11,s_C_04ARH0_X004_d,784
1,s_C_89C4M2_N001_d,2
2,s_C_89C4M2_N001_d,136
3,s_C_89C4M2_N001_d,162
4,s_C_89C4M2_N001_d,185
5,s_C_89C4M2_N001_d,209
6,s_C_89C4M2_N001_d,233
7,s_C_89C4M2_N001_d,260
8,s_C_89C4M2_N001_d,291
9,s_C_89C4M2_N001_d,330
10,s_C_89C4M2_N001_d,388
11,s_C_89C4M2_N001_d,893
1,s_C_UF0V3D_N001_d,2
2,s_C_UF0V3D_N001_d,123
3,s_C_UF0V3D_N001_d,156
4,s_C_UF0V3D_N001_d,182
5,s_C_UF0V3D_N001_d,204
6,s_C_UF0V3D_N001_d,229
7,s_C_UF0V3D_N001_d,258
8,s_C_UF0V3D_N001_d,293
9,s_C_UF0V3D_N001_d,336
10,s_C_UF0V3D_N001_d,391
11,s_C_UF0V3D_N001_d,918
1,s_C_LE0374_N001_d,2
2,s_C_LE0374_N001_d,137
3,s_C_LE0374_N001_d,163
4,s_C_LE0374_N001_d,187
5,s_C_LE0374_N001_d,211
6,s_C_LE0374_N001_d,236
7,s_C_LE0374_N001_d,264
8,s_C_LE0374_N001_d,296
9,s_C_LE0374_N001_d,336
10,s_C_LE0374_N001_d,395
11,s_C_LE0374_N001_d,906
1,s_C_5P36AD_N001_d,2
2,s_C_5P36AD_N001_d,126
3,s_C_5P36AD_N001_d,149
4,s_C_5P36AD_N001_d,170
5,s_C_5P36AD_N001_d,190
6,s_C_5P36AD_N001_d,211
7,s_C_5P36AD_N001_d,236
8,s_C_5P36AD_N001_d,265
9,s_C_5P36AD_N001_d,303
10,s_C_5P36AD_N001_d,357
11,s_C_5P36AD_N001_d,802
1,s_C_357JF7_N001_d,2
2,s_C_357JF7_N001_d,63
3,s_C_357JF7_N001_d,75
4,s_C_357JF7_N001_d,86
5,s_C_357JF7_N001_d,96
6,s_C_357JF7_N001_d,105
7,s_C_357JF7_N001_d,116
8,s_C_357JF7_N001_d,127
9,s_C_357JF7_N001_d,142
10,s_C_357JF7_N001_d,165
11,s_C_357JF7_N001_d,376
1,s_C_298CT0_N001_d,2
2,s_C_298CT0_N001_d,133
3,s_C_298CT0_N001_d,164
4,s_C_298CT0_N001_d,191
5,s_C_298CT0_N001_d,217
6,s_C_298CT0_N001_d,245
7,s_C_298CT0_N001_d,275
8,s_C_298CT0_N001_d,309
9,s_C_298CT0_N001_d,352
10,s_C_298CT0_N001_d,416
11,s_C_298CT0_N001_d,985
1,s_C_W4WRCC_N001_d,2
2,s_C_W4WRCC_N001_d,64
3,s_C_W4WRCC_N001_d,79
4,s_C_W4WRCC_N001_d,93
5,s_C_W4WRCC_N001_d,106
6,s_C_W4WRCC_N001_d,119
7,s_C_W4WRCC_N001_d,134
8,s_C_W4WRCC_N001_d,151
9,s_C_W4WRCC_N001_d,175
10,s_C_W4WRCC_N001_d,213
11,s_C_W4WRCC_N001_d,490
1,s_C_VYYFDM_N001_d,2
2,s_C_VYYFDM_N001_d,129
3,s_C_VYYFDM_N001_d,153
4,s_C_VYYFDM_N001_d,174
5,s_C_VYYFDM_N001_d,195
6,s_C_VYYFDM_N001_d,217
7,s_C_VYYFDM_N001_d,240
8,s_C_VYYFDM_N001_d,268
9,s_C_VYYFDM_N001_d,302
10,s_C_VYYFDM_N001_d,353
11,s_C_VYYFDM_N001_d,806
1,s_C_MP6REX_N001_d,2
2,s_C_MP6REX_N001_d,133
3,s_C_MP6REX_N001_d,156
4,s_C_MP6REX_N001_d,178
5,s_C_MP6REX_N001_d,199
6,s_C_MP6REX_N001_d,221
7,s_C_MP6REX_N001_d,245
8,s_C_MP6REX_N001_d,273
9,s_C_MP6REX_N001_d,308
10,s_C_MP6REX_N001_d,361
11,s_C_MP6REX_N001_d,821
1,s_C_00N9DW_N001_d,2
2,s_C_00N9DW_N001_d,55
3,s_C_00N9DW_N001_d,65
4,s_C_00N9DW_N001_d,75
5,s_C_00N9DW_N001_d,85
6,s_C_00N9DW_N001_d,95
7,s_C_00N9DW_N001_d,106
8,s_C_00N9DW_N001_d,118
9,s_C_00N9DW_N001_d,134
10,s_C_00N9DW_N001_d,159
11,s_C_00N9DW_N001_d,365
1,s_C_7X52D1_N001_d,2
2,s_C_7X52D1_N001_d,138
3,s_C_7X52D1_N001_d,166
4,s_C_7X52D1_N001_d,192
5,s_C_7X52D1_N001_d,217
6,s_C_7X52D1_N001_d,243
7,s_C_7X52D1_N001_d,271
8,s_C_7X52D1_N001_d,303
9,s_C_7X52D1_N001_d,343
10,s_C_7X52D1_N001_d,403
11,s_C_7X52D1_N001_d,943
1,s_C_T5AE02_N001_d,2
2,s_C_T5AE02_N001_d,131
3,s_C_T5AE02_N001_d,154
4,s_C_T5AE02_N001_d,176
5,s_C_T5AE02_N001_d,197
6,s_C_T5AE02_N001_d,219
7,s_C_T5AE02_N001_d,243
8,s_C_T5AE02_N001_d,270
9,s_C_T5AE02_N001_d,305
10,s_C_T5AE02_N001_d,358
11,s_C_T5AE02_N001_d,809
1,s_C_A83PUJ_N001_d,2
2,s_C_A83PUJ_N001_d,130
3,s_C_A83PUJ_N001_d,154
4,s_C_A83PUJ_N001_d,175
5,s_C_A83PUJ_N001_d,197
6,s_C_A83PUJ_N001_d,219
7,s_C_A83PUJ_N001_d,243
8,s_C_A83PUJ_N001_d,271
9,s_C_A83PUJ_N001_d,306
10,s_C_A83PUJ_N001_d,358
11,s_C_A83PUJ_N001_d,813
1,s_C_VL12TJ_N001_d,2
2,s_C_VL12TJ_N001_d,68
3,s_C_VL12TJ_N001_d,85
4,s_C_VL12TJ_N001_d,99
5,s_C_VL12TJ_N001_d,111
6,s_C_VL12TJ_N001_d,123
7,s_C_VL12TJ_N001_d,135
8,s_C_VL12TJ_N001_d,149
9,s_C_VL12TJ_N001_d,168
10,s_C_VL12TJ_N001_d,198
11,s_C_VL12TJ_N001_d,453
1,s_C_JLMFY4_N001_d,2
2,s_C_JLMFY4_N001_d,129
3,s_C_JLMFY4_N001_d,151
4,s_C_JLMFY4_N001_d,170
5,s_C_JLMFY4_N001_d,190
6,s_C_JLMFY4_N001_d,210
7,s_C_JLMFY4_N001_d,232
8,s_C_JLMFY4_N001_d,258
9,s_C_JLMFY4_N001_d,291
10,s_C_JLMFY4_N001_d,340
11,s_C_JLMFY4_N001_d,760
1,s_C_25H5PC_N001_d,2
2,s_C_25H5PC_N001_d,130
3,s_C_25H5PC_N001_d,152
4,s_C_25H5PC_N001_d,173
5,s_C_25H5PC_N001_d,194
6,s_C_25H5PC_N001_d,215
7,s_C_25H5PC_N001_d,239
8,s_C_25H5PC_N001_d,266
9,s_C_25H5PC_N001_d,301
10,s_C_25H5PC_N001_d,352
11,s_C_25H5PC_N001_d,795
1,s_C_L6W2CJ_N001_d,2
2,s_C_L6W2CJ_N001_d,131
3,s_C_L6W2CJ_N001_d,154
4,s_C_L6W2CJ_N001_d,175
5,s_C_L6W2CJ_N001_d,196
6,s_C_L6W2CJ_N001_d,218
7,s_C_L6W2CJ_N001_d,242
8,s_C_L6W2CJ_N001_d,270
9,s_C_L6W2CJ_N001_d,305
10,s_C_L6W2CJ_N001_d,357
11,s_C_L6W2CJ_N001_d,808
1,s_C_89XN1C_N001_d,2
2,s_C_89XN1C_N001_d,118
3,s_C_89XN1C_N001_d,142
4,s_C_89XN1C_N001_d,164
5,s_C_89XN1C_N001_d,186
6,s_C_89XN1C_N001_d,209
7,s_C_89XN1C_N001_d,234
8,s_C_89XN1C_N001_d,264
9,s_C_89XN1C_N001_d,302
10,s_C_89XN1C_N001_d,360
11,s_C_89XN1C_N001_d,829
1,s_C_WNJMJL_N001_d,2
2,s_C_WNJMJL_N001_d,135
3,s_C_WNJMJL_N001_d,160
4,s_C_WNJMJL_N001_d,184
5,s_C_WNJMJL_N001_d,206
6,s_C_WNJMJL_N001_d,230
7,s_C_WNJMJL_N001_d,257
8,s_C_WNJMJL_N001_d,287
9,s_C_WNJMJL_N001_d,325
10,s_C_WNJMJL_N001_d,382
11,s_C_WNJMJL_N001_d,879
1,s_C_AHNE99_N001_d,2
2,s_C_AHNE99_N001_d,129
3,s_C_AHNE99_N001_d,151
4,s_C_AHNE99_N001_d,171
5,s_C_AHNE99_N001_d,191
6,s_C_AHNE99_N001_d,212
7,s_C_AHNE99_N001_d,235
8,s_C_AHNE99_N001_d,262
9,s_C_AHNE99_N001_d,295
10,s_C_AHNE99_N001_d,345
11,s_C_AHNE99_N001_d,771
1,s_C_372JW9_N001_d,2
2,s_C_372JW9_N001_d,105
3,s_C_372JW9_N001_d,122
4,s_C_372JW9_N001_d,136
5,s_C_372JW9_N001_d,151
6,s_C_372JW9_N001_d,166
7,s_C_372JW9_N001_d,183
8,s_C_372JW9_N001_d,203
9,s_C_372JW9_N001_d,230
10,s_C_372JW9_N001_d,271
11,s_C_372JW9_N001_d,576
1,s_C_02CV97_N001_d,2
2,s_C_02CV97_N001_d,145
3,s_C_02CV97_N001_d,176
4,s_C_02CV97_N001_d,204
5,s_C_02CV97_N001_d,232
6,s_C_02CV97_N001_d,260
7,s_C_02CV97_N001_d,291
8,s_C_02CV97_N001_d,326
9,s_C_02CV97_N001_d,370
10,s_C_02CV97_N001_d,436
11,s_C_02CV97_N001_d,1020
1,s_C_KEU67X_N001_d,2
2,s_C_KEU67X_N001_d,126
3,s_C_KEU67X_N001_d,162
4,s_C_KEU67X_N001_d,191
5,s_C_KEU67X_N001_d,219
6,s_C_KEU67X_N001_d,247
7,s_C_KEU67X_N001_d,277
8,s_C_KEU67X_N001_d,310
9,s_C_KEU67X_N001_d,350
10,s_C_KEU67X_N001_d,410
11,s_C_KEU67X_N001_d,997
1,s_C_560HVF_N001_d,2
2,s_C_560HVF_N001_d,135
3,s_C_560HVF_N001_d,161
4,s_C_560HVF_N001_d,183
5,s_C_560HVF_N001_d,206
6,s_C_560HVF_N001_d,230
7,s_C_560HVF_N001_d,256
8,s_C_560HVF_N001_d,285
9,s_C_560HVF_N001_d,323
10,s_C_560HVF_N001_d,379
11,s_C_560HVF_N001_d,870
1,s_C_EKXV7Y_N001_d,2
2,s_C_EKXV7Y_N001_d,133
3,s_C_EKXV7Y_N001_d,158
4,s_C_EKXV7Y_N001_d,180
5,s_C_EKXV7Y_N001_d,202
6,s_C_EKXV7Y_N001_d,224
7,s_C_EKXV7Y_N001_d,249
8,s_C_EKXV7Y_N001_d,278
9,s_C_EKXV7Y_N001_d,314
10,s_C_EKXV7Y_N001_d,367
11,s_C_EKXV7Y_N001_d,834
1,s_C_XFUN85_N001_d,2
2,s_C_XFUN85_N001_d,138
3,s_C_XFUN85_N001_d,167
4,s_C_XFUN85_N001_d,193
5,s_C_XFUN85_N001_d,219
6,s_C_XFUN85_N001_d,245
7,s_C_XFUN85_N001_d,273
8,s_C_XFUN85_N001_d,305
9,s_C_XFUN85_N001_d,345
10,s_C_XFUN85_N001_d,404
11,s_C_XFUN85_N001_d,945
1,s_C_2UWNTM_N001_d,2
2,s_C_2UWNTM_N001_d,101
3,s_C_2UWNTM_N001_d,120
4,s_C_2UWNTM_N001_d,135
5,s_C_2UWNTM_N001_d,149
6,s_C_2UWNTM_N001_d,164
7,s_C_2UWNTM_N001_d,181
8,s_C_2UWNTM_N001_d,201
9,s_C_2UWNTM_N001_d,226
10,s_C_2UWNTM_N001_d,267
11,s_C_2UWNTM_N001_d,574
1,s_C_001605_N002_d,2
2,s_C_001605_N002_d,93
3,s_C_001605_N002_d,116
4,s_C_001605_N002_d,134
5,s_C_001605_N002_d,152
6,s_C_001605_N002_d,170
7,s_C_001605_N002_d,190
8,s_C_001605_N002_d,212
9,s_C_001605_N002_d,240
10,s_C_001605_N002_d,281
11,s_C_001605_N002_d,660
1,s_C_RUV1L3_N001_d,2
2,s_C_RUV1L3_N001_d,137
3,s_C_RUV1L3_N001_d,161
4,s_C_RUV1L3_N001_d,182
5,s_C_RUV1L3_N001_d,203
6,s_C_RUV1L3_N001_d,224
7,s_C_RUV1L3_N001_d,248
8,s_C_RUV1L3_N001_d,274
9,s_C_RUV1L3_N001_d,308
10,s_C_RUV1L3_N001_d,358
11,s_C_RUV1L3_N001_d,804
1,s_C_8R51A3_N002_d,2
2,s_C_8R51A3_N002_d,132
3,s_C_8R51A3_N002_d,158
4,s_C_8R51A3_N002_d,182
5,s_C_8R51A3_N002_d,205
6,s_C_8R51A3_N002_d,229
7,s_C_8R51A3_N002_d,255
8,s_C_8R51A3_N002_d,286
9,s_C_8R51A3_N002_d,323
10,s_C_8R51A3_N002_d,379
11,s_C_8R51A3_N002_d,879
1,s_C_R0L2VN_N001_d,2
2,s_C_R0L2VN_N001_d,149
3,s_C_R0L2VN_N001_d,181
4,s_C_R0L2VN_N001_d,211
5,s_C_R0L2VN_N001_d,241
6,s_C_R0L2VN_N001_d,271
7,s_C_R0L2VN_N001_d,304
8,s_C_R0L2VN_N001_d,342
9,s_C_R0L2VN_N001_d,389
10,s_C_R0L2VN_N001_d,459
11,s_C_R0L2VN_N001_d,1089
1,s_C_PYNFXV_N001_d,2
2,s_C_PYNFXV_N001_d,129
3,s_C_PYNFXV_N001_d,152
4,s_C_PYNFXV_N001_d,173
5,s_C_PYNFXV_N001_d,193
6,s_C_PYNFXV_N001_d,215
7,s_C_PYNFXV_N001_d,238
8,s_C_PYNFXV_N001_d,265
9,s_C_PYNFXV_N001_d,299
10,s_C_PYNFXV_N001_d,350
11,s_C_PYNFXV_N001_d,795
