Decile,Sample,Value
11,s_C_A18L6Y_N002_d,1292
1,s_C_NKCHT1_N001_d,2
2,s_C_NKCHT1_N001_d,69
3,s_C_NKCHT1_N001_d,86
4,s_C_NKCHT1_N001_d,100
5,s_C_NKCHT1_N001_d,112
6,s_C_NKCHT1_N001_d,124
7,s_C_NKCHT1_N001_d,136
8,s_C_NKCHT1_N001_d,151
9,s_C_NKCHT1_N001_d,169
10,s_C_NKCHT1_N001_d,197
11,s_C_NKCHT1_N001_d,454
1,s_C_7WH89J_N001_d,2
2,s_C_7WH89J_N001_d,57
3,s_C_7WH89J_N001_d,69
4,s_C_7WH89J_N001_d,80
5,s_C_7WH89J_N001_d,90
6,s_C_7WH89J_N001_d,101
7,s_C_7WH89J_N001_d,113
8,s_C_7WH89J_N001_d,126
9,s_C_7WH89J_N001_d,144
10,s_C_7WH89J_N001_d,171
11,s_C_7WH89J_N001_d,391
1,s_C_3R3P4M_N001_d,2
2,s_C_3R3P4M_N001_d,97
3,s_C_3R3P4M_N001_d,119
4,s_C_3R3P4M_N001_d,137
5,s_C_3R3P4M_N001_d,154
6,s_C_3R3P4M_N001_d,171
7,s_C_3R3P4M_N001_d,190
8,s_C_3R3P4M_N001_d,212
9,s_C_3R3P4M_N001_d,240
10,s_C_3R3P4M_N001_d,282
11,s_C_3R3P4M_N001_d,651
1,s_C_4V98UM_N001_d,2
2,s_C_4V98UM_N001_d,92
3,s_C_4V98UM_N001_d,112
4,s_C_4V98UM_N001_d,129
5,s_C_4V98UM_N001_d,146
6,s_C_4V98UM_N001_d,162
7,s_C_4V98UM_N001_d,180
8,s_C_4V98UM_N001_d,200
9,s_C_4V98UM_N001_d,226
10,s_C_4V98UM_N001_d,264
11,s_C_4V98UM_N001_d,612
1,s_C_V5CJN6_N001_d,2
2,s_C_V5CJN6_N001_d,95
3,s_C_V5CJN6_N001_d,113
4,s_C_V5CJN6_N001_d,128
5,s_C_V5CJN6_N001_d,143
6,s_C_V5CJN6_N001_d,159
7,s_C_V5CJN6_N001_d,176
8,s_C_V5CJN6_N001_d,197
9,s_C_V5CJN6_N001_d,225
10,s_C_V5CJN6_N001_d,267
11,s_C_V5CJN6_N001_d,589
1,s_C_039N6D_N001_d,2
2,s_C_039N6D_N001_d,57
3,s_C_039N6D_N001_d,69
4,s_C_039N6D_N001_d,79
5,s_C_039N6D_N001_d,90
6,s_C_039N6D_N001_d,100
7,s_C_039N6D_N001_d,111
8,s_C_039N6D_N001_d,125
9,s_C_039N6D_N001_d,141
10,s_C_039N6D_N001_d,167
11,s_C_039N6D_N001_d,380
1,s_C_DRN9KE_N001_d,2
2,s_C_DRN9KE_N001_d,64
3,s_C_DRN9KE_N001_d,78
4,s_C_DRN9KE_N001_d,90
5,s_C_DRN9KE_N001_d,101
6,s_C_DRN9KE_N001_d,112
7,s_C_DRN9KE_N001_d,124
8,s_C_DRN9KE_N001_d,138
9,s_C_DRN9KE_N001_d,156
10,s_C_DRN9KE_N001_d,184
11,s_C_DRN9KE_N001_d,423
1,s_C_T74FN2_N001_d,2
2,s_C_T74FN2_N001_d,142
3,s_C_T74FN2_N001_d,173
4,s_C_T74FN2_N001_d,201
5,s_C_T74FN2_N001_d,229
6,s_C_T74FN2_N001_d,257
7,s_C_T74FN2_N001_d,288
8,s_C_T74FN2_N001_d,323
9,s_C_T74FN2_N001_d,367
10,s_C_T74FN2_N001_d,433
11,s_C_T74FN2_N001_d,1017
1,s_C_H2ACV6_N001_d,2
2,s_C_H2ACV6_N001_d,65
3,s_C_H2ACV6_N001_d,79
4,s_C_H2ACV6_N001_d,91
5,s_C_H2ACV6_N001_d,103
6,s_C_H2ACV6_N001_d,114
7,s_C_H2ACV6_N001_d,126
8,s_C_H2ACV6_N001_d,140
9,s_C_H2ACV6_N001_d,157
10,s_C_H2ACV6_N001_d,184
11,s_C_H2ACV6_N001_d,424
1,s_C_7KWKUJ_N001_d,2
2,s_C_7KWKUJ_N001_d,71
3,s_C_7KWKUJ_N001_d,85
4,s_C_7KWKUJ_N001_d,97
5,s_C_7KWKUJ_N001_d,107
6,s_C_7KWKUJ_N001_d,117
7,s_C_7KWKUJ_N001_d,128
8,s_C_7KWKUJ_N001_d,140
9,s_C_7KWKUJ_N001_d,156
10,s_C_7KWKUJ_N001_d,180
11,s_C_7KWKUJ_N001_d,397
1,s_C_9F3EV4_N001_d,2
2,s_C_9F3EV4_N001_d,62
3,s_C_9F3EV4_N001_d,74
4,s_C_9F3EV4_N001_d,84
5,s_C_9F3EV4_N001_d,94
6,s_C_9F3EV4_N001_d,103
7,s_C_9F3EV4_N001_d,113
8,s_C_9F3EV4_N001_d,124
9,s_C_9F3EV4_N001_d,138
10,s_C_9F3EV4_N001_d,159
11,s_C_9F3EV4_N001_d,353
1,s_C_C8X2Y2_N001_d,2
2,s_C_C8X2Y2_N001_d,114
3,s_C_C8X2Y2_N001_d,141
4,s_C_C8X2Y2_N001_d,164
5,s_C_C8X2Y2_N001_d,186
6,s_C_C8X2Y2_N001_d,209
7,s_C_C8X2Y2_N001_d,234
8,s_C_C8X2Y2_N001_d,262
9,s_C_C8X2Y2_N001_d,298
10,s_C_C8X2Y2_N001_d,350
11,s_C_C8X2Y2_N001_d,829
1,s_C_78NDH0_N001_d,2
2,s_C_78NDH0_N001_d,136
3,s_C_78NDH0_N001_d,162
4,s_C_78NDH0_N001_d,185
5,s_C_78NDH0_N001_d,208
6,s_C_78NDH0_N001_d,233
7,s_C_78NDH0_N001_d,259
8,s_C_78NDH0_N001_d,290
9,s_C_78NDH0_N001_d,328
10,s_C_78NDH0_N001_d,385
11,s_C_78NDH0_N001_d,883
1,s_C_7PTX9U_N001_d,2
2,s_C_7PTX9U_N001_d,73
3,s_C_7PTX9U_N001_d,89
4,s_C_7PTX9U_N001_d,101
5,s_C_7PTX9U_N001_d,112
6,s_C_7PTX9U_N001_d,122
7,s_C_7PTX9U_N001_d,134
8,s_C_7PTX9U_N001_d,148
9,s_C_7PTX9U_N001_d,166
10,s_C_7PTX9U_N001_d,195
11,s_C_7PTX9U_N001_d,423
1,s_C_EUR64H_N001_d,2
2,s_C_EUR64H_N001_d,135
3,s_C_EUR64H_N001_d,160
4,s_C_EUR64H_N001_d,182
5,s_C_EUR64H_N001_d,204
6,s_C_EUR64H_N001_d,226
7,s_C_EUR64H_N001_d,251
8,s_C_EUR64H_N001_d,279
9,s_C_EUR64H_N001_d,315
10,s_C_EUR64H_N001_d,368
11,s_C_EUR64H_N001_d,836
1,s_C_3RDERW_N001_d,2
2,s_C_3RDERW_N001_d,90
3,s_C_3RDERW_N001_d,109
4,s_C_3RDERW_N001_d,124
5,s_C_3RDERW_N001_d,139
6,s_C_3RDERW_N001_d,155
7,s_C_3RDERW_N001_d,173
8,s_C_3RDERW_N001_d,195
9,s_C_3RDERW_N001_d,224
10,s_C_3RDERW_N001_d,272
11,s_C_3RDERW_N001_d,595
1,s_C_MA94C5_N001_d,2
2,s_C_MA94C5_N001_d,128
3,s_C_MA94C5_N001_d,150
4,s_C_MA94C5_N001_d,171
5,s_C_MA94C5_N001_d,191
6,s_C_MA94C5_N001_d,213
7,s_C_MA94C5_N001_d,236
8,s_C_MA94C5_N001_d,263
9,s_C_MA94C5_N001_d,297
10,s_C_MA94C5_N001_d,348
11,s_C_MA94C5_N001_d,790
1,s_C_ULFWWC_N001_d,2
2,s_C_ULFWWC_N001_d,61
3,s_C_ULFWWC_N001_d,75
4,s_C_ULFWWC_N001_d,88
5,s_C_ULFWWC_N001_d,100
6,s_C_ULFWWC_N001_d,111
7,s_C_ULFWWC_N001_d,123
8,s_C_ULFWWC_N001_d,137
9,s_C_ULFWWC_N001_d,154
10,s_C_ULFWWC_N001_d,182
11,s_C_ULFWWC_N001_d,431
1,s_C_VW67YL_N001_d,2
2,s_C_VW67YL_N001_d,131
3,s_C_VW67YL_N001_d,167
4,s_C_VW67YL_N001_d,198
5,s_C_VW67YL_N001_d,227
6,s_C_VW67YL_N001_d,255
7,s_C_VW67YL_N001_d,284
8,s_C_VW67YL_N001_d,318
9,s_C_VW67YL_N001_d,358
10,s_C_VW67YL_N001_d,418
11,s_C_VW67YL_N001_d,1015
1,s_C_TFJ5P5_N001_d,2
2,s_C_TFJ5P5_N001_d,78
3,s_C_TFJ5P5_N001_d,98
4,s_C_TFJ5P5_N001_d,113
5,s_C_TFJ5P5_N001_d,128
6,s_C_TFJ5P5_N001_d,143
7,s_C_TFJ5P5_N001_d,161
8,s_C_TFJ5P5_N001_d,181
9,s_C_TFJ5P5_N001_d,209
10,s_C_TFJ5P5_N001_d,252
11,s_C_TFJ5P5_N001_d,574
1,s_C_VCDV71_N002_d,2
2,s_C_VCDV71_N002_d,88
3,s_C_VCDV71_N002_d,109
4,s_C_VCDV71_N002_d,128
5,s_C_VCDV71_N002_d,145
6,s_C_VCDV71_N002_d,163
7,s_C_VCDV71_N002_d,183
8,s_C_VCDV71_N002_d,207
9,s_C_VCDV71_N002_d,237
10,s_C_VCDV71_N002_d,287
11,s_C_VCDV71_N002_d,664
1,s_C_67P748_N001_d,2
2,s_C_67P748_N001_d,130
3,s_C_67P748_N001_d,155
4,s_C_67P748_N001_d,177
5,s_C_67P748_N001_d,199
6,s_C_67P748_N001_d,222
7,s_C_67P748_N001_d,248
8,s_C_67P748_N001_d,277
9,s_C_67P748_N001_d,314
10,s_C_67P748_N001_d,369
11,s_C_67P748_N001_d,842
1,s_C_47KEW8_N001_d,2
2,s_C_47KEW8_N001_d,122
3,s_C_47KEW8_N001_d,158
4,s_C_47KEW8_N001_d,188
5,s_C_47KEW8_N001_d,217
6,s_C_47KEW8_N001_d,246
7,s_C_47KEW8_N001_d,277
8,s_C_47KEW8_N001_d,312
9,s_C_47KEW8_N001_d,356
10,s_C_47KEW8_N001_d,420
11,s_C_47KEW8_N001_d,1035
1,s_C_UXPA68_N001_d,2
2,s_C_UXPA68_N001_d,59
3,s_C_UXPA68_N001_d,72
4,s_C_UXPA68_N001_d,83
5,s_C_UXPA68_N001_d,94
6,s_C_UXPA68_N001_d,105
7,s_C_UXPA68_N001_d,117
8,s_C_UXPA68_N001_d,130
9,s_C_UXPA68_N001_d,148
10,s_C_UXPA68_N001_d,176
11,s_C_UXPA68_N001_d,405
1,s_C_08CU0E_N001_d,2
2,s_C_08CU0E_N001_d,75
3,s_C_08CU0E_N001_d,92
4,s_C_08CU0E_N001_d,106
5,s_C_08CU0E_N001_d,118
6,s_C_08CU0E_N001_d,131
7,s_C_08CU0E_N001_d,145
8,s_C_08CU0E_N001_d,161
9,s_C_08CU0E_N001_d,183
10,s_C_08CU0E_N001_d,216
11,s_C_08CU0E_N001_d,481
1,s_C_2E69UE_N002_d,2
2,s_C_2E69UE_N002_d,91
3,s_C_2E69UE_N002_d,112
4,s_C_2E69UE_N002_d,130
5,s_C_2E69UE_N002_d,147
6,s_C_2E69UE_N002_d,164
7,s_C_2E69UE_N002_d,183
8,s_C_2E69UE_N002_d,206
9,s_C_2E69UE_N002_d,234
10,s_C_2E69UE_N002_d,281
11,s_C_2E69UE_N002_d,645
1,s_C_VPMK73_N001_d,2
2,s_C_VPMK73_N001_d,133
3,s_C_VPMK73_N001_d,157
4,s_C_VPMK73_N001_d,179
5,s_C_VPMK73_N001_d,201
6,s_C_VPMK73_N001_d,223
7,s_C_VPMK73_N001_d,248
8,s_C_VPMK73_N001_d,277
9,s_C_VPMK73_N001_d,313
10,s_C_VPMK73_N001_d,367
11,s_C_VPMK73_N001_d,833
1,s_C_FFDRA3_N001_d,2
2,s_C_FFDRA3_N001_d,129
3,s_C_FFDRA3_N001_d,151
4,s_C_FFDRA3_N001_d,172
5,s_C_FFDRA3_N001_d,192
6,s_C_FFDRA3_N001_d,213
7,s_C_FFDRA3_N001_d,237
8,s_C_FFDRA3_N001_d,263
9,s_C_FFDRA3_N001_d,297
10,s_C_FFDRA3_N001_d,348
11,s_C_FFDRA3_N001_d,783
1,s_C_HUC7FF_N004_d,2
2,s_C_HUC7FF_N004_d,93
3,s_C_HUC7FF_N004_d,115
4,s_C_HUC7FF_N004_d,133
5,s_C_HUC7FF_N004_d,150
6,s_C_HUC7FF_N004_d,167
7,s_C_HUC7FF_N004_d,185
8,s_C_HUC7FF_N004_d,207
9,s_C_HUC7FF_N004_d,234
10,s_C_HUC7FF_N004_d,274
11,s_C_HUC7FF_N004_d,637
1,s_C_UA86LX_N001_d,2
2,s_C_UA86LX_N001_d,97
3,s_C_UA86LX_N001_d,117
4,s_C_UA86LX_N001_d,133
5,s_C_UA86LX_N001_d,148
6,s_C_UA86LX_N001_d,164
7,s_C_UA86LX_N001_d,183
8,s_C_UA86LX_N001_d,205
9,s_C_UA86LX_N001_d,233
10,s_C_UA86LX_N001_d,278
11,s_C_UA86LX_N001_d,615
1,s_C_0JLWJU_N001_d,2
2,s_C_0JLWJU_N001_d,80
3,s_C_0JLWJU_N001_d,96
4,s_C_0JLWJU_N001_d,108
5,s_C_0JLWJU_N001_d,119
6,s_C_0JLWJU_N001_d,130
7,s_C_0JLWJU_N001_d,142
8,s_C_0JLWJU_N001_d,156
9,s_C_0JLWJU_N001_d,174
10,s_C_0JLWJU_N001_d,204
11,s_C_0JLWJU_N001_d,440
1,s_C_RRRVF4_N001_d,2
2,s_C_RRRVF4_N001_d,130
3,s_C_RRRVF4_N001_d,152
4,s_C_RRRVF4_N001_d,172
5,s_C_RRRVF4_N001_d,192
6,s_C_RRRVF4_N001_d,214
7,s_C_RRRVF4_N001_d,237
8,s_C_RRRVF4_N001_d,264
9,s_C_RRRVF4_N001_d,298
10,s_C_RRRVF4_N001_d,348
11,s_C_RRRVF4_N001_d,783
1,s_C_FV3TYM_N001_d,2
2,s_C_FV3TYM_N001_d,138
3,s_C_FV3TYM_N001_d,163
4,s_C_FV3TYM_N001_d,186
5,s_C_FV3TYM_N001_d,208
6,s_C_FV3TYM_N001_d,232
7,s_C_FV3TYM_N001_d,258
8,s_C_FV3TYM_N001_d,287
9,s_C_FV3TYM_N001_d,324
10,s_C_FV3TYM_N001_d,379
11,s_C_FV3TYM_N001_d,861
1,s_C_XEE6T3_N001_d,2
2,s_C_XEE6T3_N001_d,152
3,s_C_XEE6T3_N001_d,186
4,s_C_XEE6T3_N001_d,216
5,s_C_XEE6T3_N001_d,247
6,s_C_XEE6T3_N001_d,279
7,s_C_XEE6T3_N001_d,314
8,s_C_XEE6T3_N001_d,354
9,s_C_XEE6T3_N001_d,402
10,s_C_XEE6T3_N001_d,476
11,s_C_XEE6T3_N001_d,1139
1,s_C_DV4NE2_N001_d,2
2,s_C_DV4NE2_N001_d,130
3,s_C_DV4NE2_N001_d,154
4,s_C_DV4NE2_N001_d,175
5,s_C_DV4NE2_N001_d,197
6,s_C_DV4NE2_N001_d,219
7,s_C_DV4NE2_N001_d,243
8,s_C_DV4NE2_N001_d,272
9,s_C_DV4NE2_N001_d,308
10,s_C_DV4NE2_N001_d,361
11,s_C_DV4NE2_N001_d,819
1,s_C_0XTAKJ_N001_d,2
2,s_C_0XTAKJ_N001_d,130
3,s_C_0XTAKJ_N001_d,153
4,s_C_0XTAKJ_N001_d,174
5,s_C_0XTAKJ_N001_d,195
6,s_C_0XTAKJ_N001_d,217
7,s_C_0XTAKJ_N001_d,242
8,s_C_0XTAKJ_N001_d,270
9,s_C_0XTAKJ_N001_d,305
10,s_C_0XTAKJ_N001_d,357
11,s_C_0XTAKJ_N001_d,807
1,s_C_CD7FXE_N001_d,2
2,s_C_CD7FXE_N001_d,129
3,s_C_CD7FXE_N001_d,151
4,s_C_CD7FXE_N001_d,172
5,s_C_CD7FXE_N001_d,192
